Name,Team,playerid,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Franmil Reyes,Indians,14566,136,588,528,136,24,1,37,81,101,52,166,2,1,1,0.258,0.324,0.515,0.84,0.347,0,-0.6,1.5,144.9
Jason Heyward,Cubs,4940,118,511,451,116,21,4,14,62,58,52,85,4,6,3,0.257,0.337,0.411,0.748,0.32,6.1,0.9,1.5,539.7
Tyler Flowers,Braves,9134,66,262,228,52,10,1,8,27,30,25,79,8,0,0,0.229,0.322,0.385,0.707,0.304,0.5,-0.5,1.5,551.7
Brandon Crawford,Giants,5343,133,574,513,126,27,3,13,58,63,50,118,4,4,3,0.246,0.315,0.385,0.701,0.297,3.5,-0.6,1.5,586.1
Tommy Edman,Cardinals,19470,123,512,472,128,22,6,11,61,50,29,86,5,16,4,0.272,0.319,0.414,0.733,0.311,3.9,2.4,1.5,141.3
Jeimer Candelario,Tigers,13621,104,448,392,94,22,2,14,53,49,46,109,6,3,1,0.24,0.327,0.419,0.746,0.318,2.1,0.3,1.5,576.8
Willson Contreras,Cubs,11609,105,416,363,93,19,2,17,50,58,42,100,7,3,2,0.256,0.342,0.458,0.8,0.338,-1.5,-1.3,1.5,119.8
Hunter Dozier,Royals,15117,146,630,565,142,33,6,24,75,82,57,169,3,4,2,0.252,0.321,0.457,0.778,0.326,-1.9,-0.9,1.5,187.6
Randal Grichuk,Blue Jays,10243,130,560,516,125,31,4,30,72,84,34,153,6,3,2,0.242,0.295,0.492,0.787,0.325,-3.9,0,1.5,279.2
Stephen Piscotty,Athletics,13367,100,434,388,101,24,1,17,54,58,36,90,6,2,1,0.26,0.33,0.455,0.785,0.332,-0.4,-0.5,1.5,497.5
Bryan Reynolds,Pirates,19326,141,609,548,152,31,4,16,77,69,49,135,5,5,3,0.277,0.34,0.438,0.778,0.33,-3,0,1.5,194.6
Jose Iglesias,Orioles,10231,138,595,557,149,31,3,10,62,60,26,73,6,10,5,0.267,0.305,0.384,0.689,0.293,4.3,-0.4,1.5,556.2
Yuli Gurriel,Astros,19198,144,623,578,165,38,2,22,78,93,31,72,7,5,2,0.285,0.326,0.471,0.797,0.333,-3.4,-1.4,1.4,150.7
Mike Yastrzemski,Giants,14854,138,595,531,130,29,4,20,72,67,52,153,5,6,4,0.244,0.315,0.428,0.743,0.313,2.7,-0.1,1.4,355.1
Evan Longoria,Giants,9368,125,539,491,124,26,3,19,58,69,36,110,6,3,1,0.253,0.309,0.432,0.741,0.311,0.2,-0.3,1.4,531.5
Nick Solak,Rangers,19294,109,469,419,114,19,2,16,60,61,40,102,6,6,2,0.271,0.341,0.444,0.785,0.333,-1.9,0.2,1.4,280.6
Kole Calhoun,Diamondbacks,11200,133,574,502,123,26,2,23,75,73,62,135,5,4,2,0.246,0.332,0.445,0.777,0.327,2.4,-0.2,1.4,343.1
Miguel Rojas,Marlins,7802,117,504,462,125,24,1,8,50,46,29,61,6,7,4,0.271,0.321,0.377,0.698,0.299,3.4,-1.1,1.4,573.8
Nicholas Castellanos,Reds,11737,139,602,549,152,41,4,26,80,84,43,141,5,2,2,0.277,0.333,0.508,0.84,0.349,-7.8,-0.4,1.4,97.7
Travis d'Arnaud,Braves,7739,91,360,326,84,16,0,13,42,53,27,71,2,1,1,0.256,0.315,0.428,0.743,0.314,-0.3,-0.6,1.4,246.2
Kevin Newman,Pirates,17696,131,567,523,146,26,5,9,61,54,32,73,5,16,7,0.279,0.325,0.398,0.723,0.308,-1.8,0.1,1.4,192.2
Marwin Gonzalez,Twins,5497,112,483,436,116,25,1,16,57,64,37,102,5,3,2,0.267,0.33,0.437,0.767,0.324,0.6,-0.5,1.4,504.4
Hunter Renfroe,Rays,15464,123,532,485,113,24,1,29,65,81,38,159,4,4,1,0.233,0.291,0.468,0.76,0.314,2.7,-0.1,1.4,258.2
Tom Murphy,Mariners,13499,110,440,406,89,19,2,19,47,55,27,150,3,3,1,0.219,0.271,0.415,0.686,0.288,0.3,0.2,1.4,235.9
Austin Hays,Orioles,19363,112,483,452,115,23,2,21,58,64,22,106,5,9,5,0.254,0.295,0.45,0.744,0.311,1.2,-0.2,1.4,248.4
Travis Shaw,Blue Jays,11982,107,462,398,92,19,0,22,58,62,56,116,4,3,1,0.231,0.329,0.442,0.771,0.325,2.6,-0.2,1.4,327.9
Wilson Ramos,Mets,1433,107,422,385,105,18,0,14,43,60,32,65,2,1,0,0.274,0.33,0.433,0.763,0.322,-3.2,-2.4,1.4,176
Elvis Andrus,Rangers,8709,149,644,593,161,32,4,13,78,69,40,97,4,22,8,0.272,0.32,0.405,0.725,0.309,-2.3,1.6,1.4,138.6
Todd Frazier,Rangers,785,125,539,470,115,21,1,23,67,77,54,116,10,4,3,0.244,0.331,0.444,0.776,0.328,0.1,-1.1,1.3,539.6
Howie Kendrick,Nationals,4229,109,349,317,95,20,1,11,44,45,24,55,4,4,2,0.299,0.353,0.47,0.823,0.347,-0.9,-0.8,1.3,445.9
Mitch Haniger,Mariners,14274,76,329,287,72,16,1,14,43,41,33,83,6,4,1,0.251,0.337,0.459,0.796,0.336,1.3,-0.1,1.3,425
J.D. Davis,Mets,16219,118,511,461,122,24,1,22,63,68,41,122,4,3,1,0.265,0.327,0.462,0.789,0.331,-4.5,-0.5,1.3,174
Jesse Winker,Reds,13590,109,449,388,109,21,1,14,57,52,51,72,5,2,2,0.281,0.37,0.453,0.823,0.35,-2.8,-1.1,1.3,483.7
Robinson Cano,Mets,3269,117,504,461,122,29,0,15,57,59,34,80,5,0,0,0.266,0.321,0.427,0.748,0.315,-1.4,-1.5,1.3,461.2
Mike Tauchman,Yankees,15274,84,364,323,82,17,2,10,45,43,34,78,2,8,3,0.255,0.328,0.418,0.746,0.317,5.1,0,1.3,437.1
Ian Happ,Cubs,17919,100,434,375,91,18,2,18,56,57,52,129,3,8,3,0.242,0.335,0.445,0.781,0.33,-3.3,0.3,1.3,322.3
Hanser Alberto,Orioles,11902,134,581,552,156,24,2,13,61,56,18,56,4,4,4,0.283,0.308,0.404,0.712,0.301,3.5,-0.9,1.3,466.2
Shogo Akiyama,Reds,27461,104,448,402,110,21,3,12,52,50,38,79,4,7,4,0.274,0.341,0.431,0.771,0.328,-1.1,-0.7,1.3,261.3
Martin Maldonado,Astros,6887,92,365,327,71,14,0,11,39,39,24,93,8,1,1,0.216,0.286,0.364,0.65,0.279,3.1,-1,1.3,562.2
Ji-Man Choi,Rays,5452,110,476,406,101,21,1,18,55,60,59,114,5,3,2,0.247,0.346,0.437,0.783,0.333,-1,-0.2,1.3,552
Reese McGuire,Blue Jays,15674,76,301,271,65,13,1,8,32,31,22,59,3,3,1,0.24,0.301,0.382,0.682,0.291,1.2,-0.1,1.3,541.9
Khris Davis,Athletics,9112,146,630,560,134,23,1,38,83,107,58,180,7,1,0,0.239,0.315,0.486,0.801,0.332,0,-1.4,1.3,175.6
Daniel Vogelbach,Mariners,14130,102,441,370,87,15,0,21,56,60,65,109,2,0,0,0.236,0.352,0.445,0.797,0.34,0,-0.4,1.3,539.3
Starlin Castro,Nationals,4579,120,518,484,139,26,2,17,60,71,26,89,2,3,2,0.287,0.324,0.453,0.777,0.325,-2.6,-0.8,1.3,281.8
Nicky Lopez,Royals,19339,126,546,497,133,22,4,6,59,46,38,58,4,10,4,0.268,0.323,0.364,0.687,0.298,4.2,0,1.3,558.3
Ender Inciarte,Braves,4922,112,443,398,107,19,3,8,54,40,36,65,3,13,6,0.27,0.334,0.392,0.725,0.311,2.6,1.3,1.3,483.5
Austin Hedges,Padres,12976,62,243,222,48,9,1,10,24,31,16,71,2,1,1,0.215,0.273,0.397,0.671,0.28,2,-0.2,1.3,579.5
Mallex Smith,Mariners,13608,134,581,520,130,23,8,7,67,43,46,129,7,43,12,0.25,0.319,0.362,0.681,0.296,-3,4.7,1.2,152.6
Yasiel Puig,,14225,86,371,334,88,17,1,16,46,55,31,78,3,10,4,0.265,0.33,0.471,0.8,0.335,1.1,-0.5,1.2,154.4
Gregory Polanco,Pirates,12907,126,546,484,120,29,3,22,68,71,53,128,4,10,3,0.247,0.324,0.452,0.776,0.324,-0.1,0.7,1.2,303.1
Johan Camargo,Braves,14950,102,401,366,97,22,2,13,46,52,28,79,3,1,1,0.266,0.321,0.438,0.758,0.319,1.9,-0.3,1.2,562.6
David Dahl,Rockies,13744,128,553,503,140,30,5,23,76,79,40,145,4,8,4,0.278,0.332,0.494,0.826,0.343,-2.5,0.3,1.2,149.6
Nomar Mazara,White Sox,14553,120,518,471,119,22,2,23,63,73,37,119,5,3,1,0.253,0.312,0.453,0.766,0.32,-0.9,-0.4,1.2,245.8
Lourdes Gurriel Jr.,Blue Jays,19238,136,588,547,143,30,2,26,74,83,28,132,7,8,5,0.262,0.303,0.462,0.765,0.319,-0.2,-0.3,1.1,158.5
Alex Avila,Twins,7476,55,218,179,37,7,0,8,23,24,36,76,1,1,0,0.208,0.342,0.376,0.718,0.31,2.2,-0.5,1.1,592.5
Corey Dickerson,Marlins,10762,118,511,475,129,31,3,17,58,62,28,102,3,4,2,0.273,0.315,0.46,0.775,0.321,1.1,-0.7,1.1,307.3
Austin Romine,Tigers,5491,84,333,309,79,17,0,10,36,39,18,70,2,2,0,0.256,0.298,0.409,0.707,0.299,0.5,-0.5,1.1,434.5
Manuel Margot,Rays,14712,86,371,338,84,16,4,9,43,38,27,73,2,13,5,0.25,0.307,0.401,0.708,0.3,4.1,1,1.1,486
Nick Senzel,Reds,19293,126,466,421,110,25,4,14,59,51,38,114,3,14,6,0.261,0.325,0.433,0.758,0.321,-0.4,0.2,1.1,224.4
A.J. Pollock,Dodgers,9256,107,402,365,93,20,2,16,53,54,27,85,6,8,2,0.255,0.314,0.453,0.767,0.321,-1,1.2,1.1,270.4
Manny Pina,Brewers,2829,66,262,237,57,12,1,7,26,30,18,62,4,1,0,0.242,0.304,0.391,0.695,0.296,2.7,-0.4,1.1,584.4
Scott Kingery,Phillies,17975,136,588,540,131,29,4,18,67,65,36,157,6,16,5,0.244,0.296,0.412,0.708,0.298,2.5,2.2,1.1,161.9
Tucker Barnhart,Reds,10200,89,352,308,75,16,1,8,33,38,37,71,2,1,1,0.243,0.327,0.383,0.71,0.303,4.1,-1.3,1.1,427.8
Austin Barnes,Dodgers,12158,53,211,183,42,9,1,5,24,22,23,48,4,3,1,0.228,0.324,0.364,0.688,0.298,0.4,-0.1,1.1,599.5
Max Stassi,Angels,10059,57,224,199,41,9,0,7,23,22,19,67,3,1,1,0.208,0.288,0.354,0.642,0.278,-0.5,-0.5,1.1,999
Aaron Hicks,Yankees,5297,52,224,191,46,9,1,10,31,31,29,51,1,3,1,0.241,0.34,0.442,0.783,0.333,0.1,0.3,1.1,556.1
Willie Calhoun,Rangers,17838,130,560,507,138,27,2,26,74,79,43,84,4,2,1,0.272,0.332,0.486,0.819,0.342,-4,-0.4,1.1,173
Niko Goodrum,Tigers,12092,136,588,531,128,29,4,17,69,62,49,165,3,13,5,0.241,0.307,0.41,0.717,0.304,-5.2,1.7,1.1,298.8
Avisail Garcia,Brewers,5760,113,470,431,118,22,2,19,58,68,29,109,6,6,3,0.274,0.326,0.468,0.794,0.332,-1.1,-0.5,1,218.8
Rougned Odor,Rangers,12282,134,581,524,124,27,2,28,77,83,44,158,7,13,8,0.236,0.302,0.455,0.757,0.316,-2.4,0.5,1,235.3
Yoenis Cespedes,Mets,13110,79,283,254,65,12,1,15,37,43,24,70,2,2,1,0.256,0.322,0.487,0.809,0.334,0.1,0.2,1,451.8
Victor Caratini,Cubs,14968,76,270,239,63,13,1,8,31,32,24,55,3,1,0,0.265,0.337,0.42,0.757,0.323,-1,-0.1,1,494.9
Christian Walker,Diamondbacks,13419,123,532,472,119,25,2,23,68,74,49,139,5,5,1,0.252,0.327,0.464,0.791,0.331,0.8,0.4,1,203.2
Justin Smoak,Brewers,9054,113,450,380,90,18,0,22,55,65,63,107,4,0,0,0.237,0.349,0.457,0.806,0.342,-0.2,-1.8,1,500.7
Robinson Chirinos,Rangers,3142,92,365,310,70,15,1,14,43,45,39,106,11,1,1,0.227,0.332,0.419,0.751,0.323,-0.1,-1.3,1,306.2
Ryan Braun,Brewers,3410,107,462,420,113,24,2,20,60,69,34,94,4,8,3,0.269,0.328,0.482,0.809,0.337,-1,-0.6,1,265.5
Chris Taylor,Dodgers,13757,94,306,273,68,17,3,8,38,35,27,83,3,6,2,0.251,0.324,0.424,0.748,0.317,-1.3,1.2,0.9,511.6
Mauricio Dubon,Giants,16530,118,511,477,126,23,2,12,53,48,24,78,3,12,6,0.263,0.301,0.391,0.692,0.294,2.6,-0.1,0.9,481.6
Tommy La Stella,Angels,12371,89,385,343,93,15,0,11,47,44,29,46,4,1,1,0.272,0.329,0.416,0.745,0.312,1.7,-0.3,0.9,304.8
Josh Reddick,Astros,3892,92,399,362,97,16,2,11,47,47,31,56,1,4,2,0.268,0.323,0.417,0.74,0.313,0.6,0.2,0.9,569.7
Yan Gomes,Nationals,9627,71,282,253,60,13,0,10,30,36,22,71,4,1,0,0.236,0.306,0.409,0.715,0.301,1.9,-0.3,0.9,522.2
Rio Ruiz,Orioles,14103,97,420,377,91,17,2,12,45,47,38,93,1,1,1,0.243,0.312,0.396,0.708,0.302,1.6,-0.5,0.9,594.8
Matt Joyce,Marlins,3353,112,363,306,73,15,0,12,45,36,52,76,2,2,1,0.24,0.35,0.408,0.758,0.328,-1.4,-0.5,0.9,599.7
Francisco Mejia,Padres,16403,97,384,352,90,18,2,12,41,43,21,78,5,2,1,0.254,0.303,0.422,0.725,0.304,0.1,0,0.9,229
Ryan McMahon,Rockies,15112,128,553,495,131,27,3,21,67,76,50,153,3,6,2,0.264,0.333,0.458,0.791,0.333,-1.2,0.4,0.9,189.3
Joey Wendle,Rays,13853,73,315,289,74,16,2,5,34,31,17,60,5,8,2,0.257,0.307,0.385,0.692,0.295,2.1,0.6,0.9,570.4
Shin-Soo Choo,Rangers,3174,143,616,525,133,26,1,20,82,59,73,152,12,10,2,0.253,0.356,0.423,0.779,0.336,-0.3,0.5,0.9,249.9
Maikel Franco,Royals,12179,120,518,470,121,25,1,20,59,70,40,74,2,1,0,0.258,0.317,0.443,0.76,0.311,-2.8,-1,0.9,489.3
Jorge Alfaro,Marlins,12180,110,435,402,97,17,1,14,41,48,20,145,9,3,2,0.241,0.291,0.391,0.682,0.289,-1.6,-0.9,0.9,212.6
Wilmer Flores,Giants,5827,102,341,313,87,19,0,11,37,43,20,40,4,0,1,0.279,0.327,0.448,0.775,0.327,-2.1,-1.2,0.9,578.5
Alex Gordon,Royals,5209,118,511,453,114,22,1,12,57,54,42,99,11,5,2,0.251,0.328,0.386,0.714,0.307,4.8,-0.6,0.9,579.3
Cameron Maybin,Tigers,5223,109,469,413,106,22,1,10,58,45,49,108,3,15,7,0.257,0.339,0.392,0.73,0.316,-0.2,-0.2,0.9,575.6
Teoscar Hernandez,Blue Jays,13066,125,539,484,113,24,3,26,68,72,47,168,3,9,5,0.234,0.304,0.455,0.759,0.317,-0.9,-0.2,0.9,401.4
Austin Riley,Braves,18360,71,308,281,70,15,1,17,40,49,21,89,3,1,1,0.251,0.308,0.486,0.794,0.328,-1.4,-0.2,0.8,297.3
Eric Thames,Nationals,3711,110,448,387,93,20,2,22,61,63,50,137,7,4,2,0.239,0.336,0.477,0.813,0.339,-2,0,0.8,499
Enrique Hernandez,Dodgers,10472,87,278,246,59,13,1,11,35,37,27,58,2,2,0,0.241,0.318,0.436,0.755,0.317,-0.6,0.7,0.8,563.7
Steven Souza Jr.,Cubs,5667,105,335,293,69,13,2,14,41,45,36,100,4,6,2,0.236,0.325,0.438,0.763,0.324,0.1,0.9,0.8,553.6
Oscar Mercado,Indians,16375,133,574,520,132,27,3,13,71,59,39,115,7,23,11,0.253,0.311,0.391,0.703,0.301,1.2,0.6,0.8,112
Alec Bohm,Phillies,sa3007284,53,231,209,55,10,1,9,28,29,18,40,1,2,1,0.265,0.326,0.449,0.775,0.326,0.4,-0.1,0.8,512.8
Jordan Luplow,Indians,16424,68,294,257,63,14,1,11,38,40,31,69,3,4,2,0.247,0.334,0.443,0.777,0.329,2.1,-0.3,0.8,592.8
Tyler O'Neill,Cardinals,15711,115,457,416,100,17,1,24,58,66,33,147,3,5,1,0.241,0.3,0.459,0.759,0.316,-0.5,0.9,0.8,510.9
Shed Long,Mariners,16542,120,518,468,112,21,3,14,58,51,41,136,3,9,5,0.238,0.303,0.389,0.692,0.296,-1.9,-0.1,0.8,501.7
Isan Diaz,Marlins,17922,126,546,484,114,21,3,16,64,61,54,138,4,7,3,0.235,0.315,0.39,0.705,0.303,-3.2,-0.2,0.8,556.1
Jedd Gyorko,Brewers,10816,75,262,232,57,10,1,12,31,36,26,60,1,2,0,0.247,0.324,0.445,0.769,0.325,0.1,-0.4,0.8,599.9
Nico Hoerner,Cubs,21479,76,329,304,82,14,4,6,37,36,19,40,3,5,3,0.271,0.319,0.405,0.724,0.308,1.2,0,0.8,492
Franklin Barreto,Athletics,15519,70,301,274,63,13,2,11,37,37,20,94,4,6,2,0.232,0.292,0.419,0.711,0.299,0,0.7,0.8,559.6
Derek Fisher,Blue Jays,16192,83,357,313,71,14,2,15,46,42,38,113,3,9,3,0.228,0.315,0.427,0.743,0.315,0.9,0.4,0.8,589.4
Asdrubal Cabrera,Nationals,4962,81,278,249,67,15,1,10,34,40,24,54,2,1,0,0.269,0.337,0.452,0.789,0.333,-1.8,-0.9,0.8,508.2
Anthony Santander,Orioles,14551,131,567,527,135,29,2,21,64,73,30,116,5,4,3,0.257,0.3,0.44,0.74,0.31,0.2,-0.2,0.7,413
Dexter Fowler,Cardinals,4062,126,546,466,109,23,3,16,66,60,67,132,6,8,4,0.235,0.336,0.399,0.736,0.318,-3.2,0.2,0.7,568.6
Jarrod Dyson,Pirates,4866,86,371,328,78,12,3,5,45,27,34,63,4,22,5,0.238,0.315,0.337,0.653,0.286,3.7,2.8,0.7,448.3
Michael Chavis,Red Sox,17321,112,483,438,108,21,1,23,59,69,36,143,5,3,1,0.246,0.308,0.456,0.765,0.32,-3.1,-0.2,0.7,249.2
Jo Adell,Angels,sa3004837,65,280,257,66,14,1,10,32,32,17,77,3,5,1,0.257,0.31,0.429,0.738,0.312,1.7,0.4,0.7,999
Omar Narvaez,Brewers,13338,91,358,314,83,13,0,13,40,41,38,65,3,0,1,0.265,0.347,0.428,0.775,0.332,-5.3,-0.7,0.7,190.4
Danny Santana,Rangers,10322,123,532,494,127,26,5,21,70,70,27,145,5,19,7,0.258,0.301,0.456,0.757,0.315,-3.3,1.3,0.7,139.3
Wil Myers,Padres,10047,113,410,363,85,19,1,16,49,50,42,126,2,12,4,0.234,0.315,0.428,0.743,0.315,-0.5,1,0.7,284.9
Jesus Aguilar,Marlins,11342,94,406,356,87,16,0,17,47,57,41,97,3,0,0,0.245,0.326,0.436,0.761,0.322,1,-0.6,0.7,394
Brian Dozier,Padres,9810,66,207,181,43,9,1,9,26,26,22,45,2,3,1,0.237,0.326,0.437,0.763,0.323,-0.4,0,0.7,588.3
Alex Dickerson,Giants,12649,110,436,393,104,22,4,12,52,54,32,87,6,3,1,0.265,0.328,0.433,0.761,0.32,-2.4,-0.2,0.7,583.4
Eric Sogard,Brewers,7927,79,323,285,73,15,1,6,37,27,31,49,3,5,1,0.256,0.333,0.379,0.712,0.307,0.5,0.4,0.7,572.5
Dylan Carlson,Cardinals,sa917940,63,273,243,61,12,3,8,32,32,24,61,3,6,3,0.249,0.321,0.425,0.745,0.315,-0.7,-0.1,0.7,292.7
Tyler Naquin,Indians,13359,65,280,257,70,14,1,9,33,35,17,67,2,4,2,0.271,0.319,0.439,0.758,0.318,2.3,0.1,0.7,600.4
Kevin Pillar,Red Sox,12434,71,308,289,78,20,1,8,37,40,12,48,4,6,2,0.27,0.304,0.433,0.737,0.308,2.4,0.7,0.6,392.6
Domingo Santana,Indians,10348,89,385,337,84,17,1,17,48,52,42,126,3,5,2,0.25,0.335,0.453,0.788,0.333,-3.3,0.3,0.6,319.3
Mitch Moreland,Red Sox,3086,110,476,424,104,24,2,20,59,69,45,110,3,1,0,0.245,0.319,0.451,0.771,0.323,1.7,-1.1,0.6,572.5
David Bote,Cubs,14593,89,285,251,61,13,1,9,33,34,28,74,4,3,1,0.242,0.324,0.408,0.732,0.312,-0.4,0.3,0.6,573.7
Brock Holt,Brewers,9345,102,349,305,78,15,2,6,37,36,35,72,5,4,3,0.256,0.34,0.379,0.719,0.312,-0.5,-0.7,0.6,999
Jake Lamb,Diamondbacks,13329,94,306,261,61,14,2,11,38,43,38,79,3,2,1,0.232,0.335,0.431,0.766,0.324,-1.4,0.6,0.6,561.8
Jay Bruce,Phillies,9892,94,266,242,58,13,1,15,33,45,21,64,1,1,1,0.242,0.304,0.493,0.797,0.329,-0.4,-0.4,0.6,591.4
Mike Ford,Yankees,15585,41,175,153,39,8,0,9,24,26,18,33,2,0,0,0.256,0.34,0.484,0.824,0.344,-0.1,-0.1,0.6,584.8
Kurt Suzuki,Nationals,8259,78,307,278,75,15,0,13,35,49,18,39,7,1,0,0.268,0.326,0.457,0.783,0.329,-4.1,-0.7,0.6,296.6
Austin Nola,Mariners,15941,100,418,375,91,19,1,9,43,41,34,89,5,3,1,0.242,0.311,0.369,0.679,0.293,1.3,0.2,0.6,575.5
Kyle Higashioka,Yankees,5517,36,141,129,29,6,0,7,17,20,9,36,1,0,0,0.225,0.279,0.428,0.706,0.295,-0.6,0,0.6,597.5
JaCoby Jones,Tigers,14818,125,539,487,110,25,5,15,61,51,38,162,9,12,5,0.227,0.292,0.389,0.681,0.29,0.2,0.8,0.6,562.7
Tony Kemp,Athletics,14894,65,280,249,64,11,3,4,32,26,23,40,3,7,3,0.259,0.327,0.378,0.705,0.304,-1,-0.4,0.6,597.5
Adam Haseley,Phillies,19878,107,462,418,105,20,2,12,50,50,32,101,6,6,3,0.252,0.313,0.395,0.708,0.302,-0.4,0.2,0.6,552
Luis Rengifo,Angels,19858,50,217,193,48,9,2,4,24,21,19,43,2,5,3,0.248,0.321,0.383,0.704,0.303,0.1,-0.3,0.6,598.6
Colin Moran,Pirates,16909,118,511,465,123,24,2,14,53,67,37,110,4,1,1,0.264,0.32,0.415,0.735,0.31,-4.5,-1.4,0.6,547.7
Austin Allen,Athletics,18083,53,212,194,47,11,0,7,24,27,13,50,2,0,0,0.244,0.297,0.412,0.709,0.298,-1.2,-0.1,0.6,575.2
Brett Phillips,Royals,14735,81,350,304,62,10,5,10,38,34,39,120,2,10,2,0.205,0.297,0.366,0.663,0.285,5.4,1.3,0.6,601
Jon Berti,Marlins,12037,71,228,203,49,8,2,4,27,19,19,51,4,12,3,0.242,0.316,0.363,0.679,0.295,1,1.3,0.6,248.7
Joe Panik,,11936,53,231,206,54,11,1,4,26,22,20,23,2,2,1,0.262,0.329,0.389,0.717,0.307,-0.3,-0.2,0.5,999
Freddy Galvis,Reds,6609,136,588,545,135,27,3,16,62,67,34,133,2,6,3,0.247,0.293,0.394,0.687,0.29,0.5,0,0.5,450.7
Jason Kipnis,,9776,63,253,226,56,13,1,7,28,31,21,47,2,3,1,0.249,0.317,0.412,0.729,0.31,-0.4,0.3,0.5,588.6
Aledmys Diaz,Astros,15937,42,182,164,43,9,1,6,23,24,13,27,2,1,1,0.261,0.321,0.44,0.762,0.32,-1,-0.3,0.5,593.7
Addison Russell,,14106,29,126,112,28,6,1,4,14,15,11,29,2,1,0,0.246,0.32,0.407,0.727,0.309,1.8,0.1,0.5,598.2
Miguel Andujar,Yankees,15878,110,476,444,119,26,2,19,57,67,23,81,4,2,2,0.267,0.305,0.46,0.765,0.319,-3.5,-0.1,0.5,260.4
