Name,Team,playerid,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,ADP
Martin Maldonado,Astros,6887,86,333,299,66,14,1,10,37,38,21,83,7,1,0,0.221,0.286,0.375,0.661,0.283,77,-1,2.5,-11,9.7,1.4,562.2
Johan Camargo,Braves,14950,93,372,337,91,20,1,12,42,47,27,72,3,2,1,0.269,0.326,0.44,0.766,0.322,96,-0.1,1.8,-2.1,2.6,1.2,562.6
JaCoby Jones,Tigers,14818,125,512,460,107,23,4,15,58,54,36,150,8,11,4,0.234,0.299,0.397,0.696,0.295,81,1,-3.9,-11.6,-1.9,0.5,562.7
Enrique Hernandez,Dodgers,10472,64,266,234,58,12,1,11,33,34,26,54,2,2,1,0.246,0.325,0.445,0.769,0.323,102,0.6,0.1,1.2,-1.6,0.8,563.7
Jake Bauers,Indians,15194,49,200,173,42,10,0,7,24,24,23,49,2,4,2,0.242,0.333,0.416,0.749,0.321,95,0.4,0,-0.8,-2.9,0.3,563.7
Dexter Fowler,Cardinals,4062,126,541,462,109,23,2,16,63,56,66,131,6,8,3,0.235,0.336,0.399,0.736,0.317,97,0.8,-3.2,-1.3,-8.7,0.7,568.6
Roman Quinn,Phillies,13546,64,255,228,55,10,3,6,27,26,21,68,2,11,4,0.241,0.309,0.38,0.689,0.296,79,0.7,-1.6,-6.2,-2.3,0,569.2
Jarred Kelenic,Mariners,sa3007741,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.299,0.421,0.72,0.304,92,0,0,0,0,0,569.4
Josh Reddick,Astros,3892,92,379,343,92,15,2,12,47,48,30,55,1,4,1,0.267,0.326,0.429,0.755,0.319,101,0.4,-1,1.1,-5.4,0.9,569.7
Brian Goodwin,Angels,12858,91,377,338,78,17,1,12,43,43,31,108,3,6,2,0.231,0.299,0.394,0.693,0.295,84,0.2,-0.8,-7.6,-5.1,0.1,570.3
Joey Wendle,Rays,13853,73,305,280,72,16,2,5,32,30,17,59,5,7,3,0.257,0.308,0.38,0.688,0.294,85,0.5,1.1,-5.6,2.6,0.8,570.4
Elias Diaz,Rockies,11680,15,60,55,16,3,0,1,6,7,4,11,0,0,0,0.285,0.336,0.424,0.761,0.324,84,-0.1,-0.3,-1.4,1,0,572.2
Mitch Moreland,Red Sox,3086,110,463,410,103,24,2,21,60,67,44,108,3,2,1,0.251,0.326,0.469,0.795,0.333,103,-1.6,0.7,0.2,-8.8,0.8,572.5
Eric Sogard,Brewers,7927,75,325,285,73,14,1,7,38,30,32,51,3,4,2,0.256,0.335,0.386,0.721,0.31,88,0.3,-0.2,-4.8,0.8,0.6,572.5
Orlando Arcia,Brewers,13185,47,185,168,42,8,1,5,18,21,13,36,1,3,1,0.25,0.307,0.392,0.699,0.295,78,0.2,0.2,-5.1,0.7,0.2,572.5
Myles Straw,Astros,17620,34,137,121,32,5,1,1,16,12,13,26,1,7,2,0.261,0.335,0.34,0.675,0.297,86,0.5,0.1,-1.8,0.5,0.3,572.9
David Bote,Cubs,14593,66,263,230,56,11,1,8,29,30,25,68,4,3,1,0.241,0.323,0.403,0.725,0.309,89,0.4,-1,-3.6,-2.1,0.3,573.7
Miguel Rojas,Marlins,7802,117,492,449,123,25,1,8,49,45,30,62,6,7,3,0.274,0.325,0.387,0.712,0.305,90,-1.2,1.4,-7.7,6.8,1.5,573.8
Austin Allen,Athletics,18083,50,199,182,44,10,0,6,22,23,12,45,2,1,0,0.242,0.295,0.401,0.695,0.292,83,0.1,-0.6,-4.2,3.2,0.5,575.2
Austin Nola,Mariners,15941,97,407,364,88,18,1,9,40,41,33,89,5,3,1,0.242,0.31,0.368,0.678,0.293,84,0.2,0.3,-8.2,-1.9,0.4,575.5
Cameron Maybin,Tigers,5223,109,439,384,98,21,1,10,49,45,46,100,3,14,5,0.256,0.337,0.394,0.731,0.316,95,0.6,-0.3,-2.4,-5,0.8,575.6
Cristian Pache,Braves,sa916722,6,27,25,6,1,0,1,3,3,2,6,0,0,0,0.253,0.298,0.39,0.688,0.292,76,0,0,-0.8,0,0,576.4
Jeimer Candelario,Tigers,13621,104,452,393,96,22,3,15,55,51,47,110,6,3,1,0.243,0.331,0.425,0.756,0.322,99,0.5,0.4,-0.1,-0.1,1.5,576.8
Greg Bird,,14131,28,113,98,23,5,0,5,14,15,13,29,1,1,0,0.234,0.326,0.449,0.775,0.327,94,0,0.4,-0.9,-1.9,0.1,578
Wilmer Flores,Giants,5827,79,327,299,84,18,1,12,38,43,20,39,4,1,0,0.281,0.332,0.463,0.794,0.334,109,-1.1,-2,2.7,-4.5,0.9,578.5
Hunter Pence,Giants,8252,88,368,335,87,16,2,12,40,45,26,87,3,4,2,0.26,0.315,0.428,0.743,0.314,96,0,-1.8,-1.9,-7.3,0.3,579.2
Alex Gordon,Royals,5209,118,505,446,115,23,1,14,58,57,42,97,11,5,2,0.258,0.334,0.407,0.741,0.317,95,-0.9,3.3,-4.4,-2.6,1.1,579.3
Austin Hedges,Padres,12976,57,226,205,44,8,1,9,22,27,15,66,2,1,0,0.213,0.272,0.392,0.664,0.278,71,-0.2,0.3,-8.8,5.1,1.3,579.5
Billy Hamilton,,10199,45,183,164,37,6,2,1,17,14,15,43,1,11,3,0.227,0.293,0.31,0.604,0.265,64,1.9,1.7,-6.9,2.5,0.1,579.8
Welington Castillo,Nationals,3256,9,37,34,8,2,0,2,4,5,2,10,0,0,0,0.244,0.296,0.424,0.72,0.304,83,-0.2,0,-1,0.8,0,581.8
Christin Stewart,Tigers,17714,105,452,397,98,19,2,17,54,56,45,108,5,1,1,0.245,0.327,0.434,0.761,0.322,98,-0.5,-4,-1.4,-10.3,0.4,582.8
Alex Dickerson,Giants,12649,101,419,377,103,21,4,13,47,52,32,88,5,3,1,0.273,0.336,0.449,0.785,0.33,106,-0.2,-3,3.2,-8.5,0.8,583.4
Manny Pina,Brewers,2829,62,248,224,55,11,1,7,26,29,17,58,3,1,0,0.245,0.307,0.401,0.708,0.301,82,-0.7,1.4,-6.6,6.6,1.2,584.4
Mike Ford,Yankees,15585,40,163,142,36,7,0,9,22,24,17,31,2,1,0,0.255,0.34,0.487,0.827,0.345,116,0.1,-0.3,3.3,-3.7,0.5,584.8
Brandon Crawford,Giants,5343,133,546,488,121,27,2,13,54,59,48,115,4,4,2,0.248,0.318,0.394,0.712,0.302,88,-0.2,2.3,-9.1,8.9,1.7,586.1
Kevin Cron,Diamondbacks,16211,8,33,29,7,1,0,2,4,5,3,9,0,0,0,0.247,0.316,0.484,0.8,0.332,103,0,0.1,0.1,-0.7,0,586.6
Randy Arozarena,Rays,19290,11,46,41,10,2,0,1,5,5,3,10,1,2,1,0.256,0.322,0.41,0.731,0.312,97,0,0.3,-0.2,-0.2,0.1,586.8
Matt Wieters,Cardinals,4298,41,162,146,34,6,0,6,17,19,13,36,1,1,0,0.234,0.3,0.401,0.701,0.297,84,-0.5,0.8,-4,4.2,0.1,587.1
Matt Beaty,Dodgers,17710,40,161,147,40,9,0,5,19,20,10,23,2,2,1,0.274,0.327,0.442,0.768,0.324,102,0,-0.8,0.4,-4,0.2,588.1
Brian Dozier,Padres,9810,48,204,177,40,9,0,8,24,24,22,45,2,3,1,0.228,0.319,0.422,0.741,0.315,95,0.2,-0.4,-1.2,-1.5,0.4,588.3
Jason Kipnis,,9776,58,247,221,54,13,1,7,28,28,21,47,2,3,1,0.246,0.315,0.406,0.722,0.308,88,0.3,-0.3,-3.7,0.2,0.4,588.6
Drew Waters,Braves,sa3004378,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.303,0.394,0.697,0.296,79,0,0,0,0,0,589.3
Derek Fisher,Blue Jays,16192,83,336,293,67,13,1,13,41,39,35,106,3,8,3,0.229,0.314,0.417,0.731,0.311,93,0.3,0.6,-2.8,-3.6,0.5,589.4
Jay Bruce,Phillies,9892,61,257,231,54,12,1,14,32,39,21,63,1,1,1,0.234,0.3,0.474,0.774,0.321,96,-0.4,-1.2,-1.8,-6.1,0,591.4
Lane Thomas,Cardinals,16939,46,185,167,41,8,1,6,21,22,14,48,2,5,2,0.244,0.308,0.418,0.726,0.308,91,0.1,0.7,-2.1,-2.4,0.1,591.8
Chris Davis,Orioles,9272,86,352,308,61,10,0,16,38,42,37,134,4,1,0,0.197,0.288,0.389,0.677,0.288,75,-0.2,-0.6,-11.3,-7.7,-0.6,592.2
Alex Avila,Twins,7476,51,205,169,36,7,0,7,25,23,32,68,1,1,0,0.214,0.342,0.38,0.723,0.31,91,-0.8,1.4,-3.1,5.4,1.1,592.5
Josh VanMeter,Reds,15170,13,55,49,12,3,0,2,7,6,5,11,0,1,1,0.25,0.322,0.427,0.749,0.317,92,0,0.1,-0.6,-0.6,0.1,592.5
Jared Oliva,Pirates,sa915844,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.31,0.375,0.685,0.295,81,0,0,0,0,0,592.5
Jordan Luplow,Indians,16424,68,282,247,62,13,1,11,36,38,29,64,3,4,2,0.25,0.334,0.45,0.784,0.331,102,0,1,0.7,-3.3,0.7,592.8
Chad Pinder,Athletics,15191,39,161,146,37,8,0,6,19,20,10,41,2,1,0,0.25,0.307,0.428,0.735,0.31,95,-0.2,0.8,-1.1,-0.9,0.4,592.8
Ty France,Padres,17982,8,34,31,8,2,0,1,4,4,2,7,1,0,0,0.26,0.323,0.446,0.769,0.325,101,0,0.1,0,-0.4,0.1,593.4
Aledmys Diaz,Astros,15937,42,170,154,40,9,1,6,21,22,12,26,2,1,1,0.261,0.319,0.442,0.762,0.32,102,-0.3,-0.5,0.1,-0.6,0.5,593.7
Cole Tucker,Pirates,17326,15,58,52,13,2,1,1,5,6,4,12,0,2,1,0.248,0.309,0.372,0.681,0.292,79,0.1,0.1,-1.5,0.8,0.1,594.2
Julio Rodriguez,Mariners,sa3005720,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.272,0.357,0.628,0.268,67,0,0,0,0,0,594.2
Ryan O'Hearn,Royals,16442,102,419,370,87,19,2,17,49,53,41,112,3,1,1,0.235,0.314,0.435,0.749,0.316,94,-0.3,-0.5,-3.6,-9,0.2,594.3
Nick Heath,Royals,sa918355,3,13,12,3,0,0,0,1,1,1,4,0,1,0,0.227,0.294,0.33,0.624,0.272,64,0,0,-0.6,0.1,0,594.5
Rio Ruiz,Orioles,14103,97,395,353,88,16,2,12,43,45,35,85,2,2,1,0.249,0.317,0.406,0.724,0.309,89,-0.3,0.5,-5.7,2.1,1,594.8
Lewis Brinson,Marlins,14352,65,260,237,51,10,2,7,23,26,16,78,4,4,2,0.217,0.276,0.362,0.639,0.272,69,0.1,-0.2,-10.7,-0.7,-0.3,594.9
Jonathan Lucroy,Red Sox,7870,15,60,54,14,3,0,1,7,7,5,9,1,0,0,0.262,0.326,0.403,0.73,0.312,88,-0.3,0.2,-1.2,1.4,0.2,595.1
Seth Brown,Athletics,18171,39,160,146,34,7,1,5,17,19,11,45,1,1,1,0.232,0.287,0.401,0.688,0.291,82,0,0.3,-3.7,-2.5,-0.1,595.1
Andrew Vaughn,White Sox,sa3011226,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.27,0.338,0.609,0.263,62,0,0,0,0,0,595.3
Bradley Zimmer,Indians,16221,21,85,76,17,4,0,2,10,9,7,27,1,2,1,0.23,0.302,0.383,0.684,0.293,76,0.3,0.4,-2.3,0.5,0.1,595.5
Greg Allen,Indians,16623,42,169,152,37,7,1,3,18,17,11,37,4,6,2,0.247,0.311,0.362,0.673,0.291,74,0.3,0.4,-5.3,-1.4,-0.1,595.5
Ryan Zimmerman,Nationals,4220,67,281,254,67,14,1,13,35,42,23,60,2,1,0,0.263,0.326,0.475,0.801,0.336,104,-0.2,-0.9,1.2,-7.1,0.3,595.8
Jake Marisnick,Mets,11339,74,290,262,57,12,1,10,31,33,18,91,5,7,3,0.218,0.279,0.391,0.67,0.284,77,1,0,-7.6,-0.6,0.1,596.1
Ehire Adrianza,Twins,8418,24,97,88,22,5,1,2,11,11,7,19,1,1,0,0.256,0.317,0.39,0.707,0.302,85,0.1,-0.5,-1.8,0.2,0.2,596.7
Harold Ramirez,Marlins,14387,47,198,184,51,10,1,5,20,22,10,38,2,2,1,0.275,0.317,0.42,0.737,0.312,95,0.1,-0.5,-1.3,-3.6,0.1,597
Sheldon Neuse,Athletics,19635,31,123,112,29,6,0,3,13,13,8,35,1,1,0,0.256,0.306,0.392,0.698,0.297,87,0,0.1,-2.1,0.6,0.3,597.3
Adley Rutschman,Orioles,sa3011643,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.234,0.282,0.516,0.224,32,0,0,-0.1,0,0,597.4
Kyle Higashioka,Yankees,5517,33,131,119,27,5,0,6,15,17,9,34,1,1,0,0.223,0.279,0.42,0.699,0.293,81,0.1,-0.2,-3.2,2.5,0.7,597.5
Tony Kemp,Athletics,14894,65,257,229,60,10,3,4,29,25,22,36,3,7,3,0.261,0.33,0.381,0.711,0.306,93,-0.2,-0.5,-2.7,0.1,0.6,597.5
Ryan McBroom,Royals,16524,60,246,223,57,12,0,7,27,28,18,65,3,1,1,0.255,0.315,0.409,0.725,0.308,88,-0.1,0.1,-3.7,-4.1,0.1,597.5
Josh Naylor,Padres,18839,47,198,178,47,10,0,7,23,24,17,35,1,1,1,0.267,0.332,0.437,0.769,0.325,101,0.1,-0.8,0.5,-3.9,0.3,597.7
Jaylin Davis,Giants,19552,34,137,124,30,5,0,5,14,16,10,39,2,2,1,0.241,0.304,0.412,0.716,0.303,89,0.1,-0.1,-2,-1.8,0.1,597.8
Abraham Toro,Astros,19844,18,72,64,16,3,1,2,9,9,6,14,1,1,0,0.253,0.324,0.423,0.747,0.317,100,0.1,0.4,0,-0.2,0.2,598
Isiah Kiner-Falefa,Rangers,16512,19,77,69,18,4,0,1,8,7,6,14,1,1,1,0.256,0.32,0.362,0.682,0.296,73,0,0.2,-2.6,0.8,0,598
Addison Russell,,14106,29,116,104,26,5,0,4,13,14,10,27,1,1,0,0.249,0.32,0.417,0.737,0.312,92,0.2,1.1,-1,2,0.5,598.2
Jazz Chisholm,Marlins,sa919327,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.274,0.365,0.639,0.273,69,0,0,0,0,0,598.4
Curt Casali,Reds,12510,60,241,213,50,10,0,8,25,28,22,57,2,1,0,0.236,0.313,0.397,0.71,0.303,82,-0.2,0,-5.8,4.5,0.6,598.6
Luis Rengifo,Angels,19858,50,196,174,43,9,1,4,22,21,17,39,2,5,2,0.249,0.32,0.384,0.704,0.303,89,0.3,-0.2,-2.4,1.2,0.6,598.6
Willi Castro,Tigers,17338,37,151,139,36,7,1,3,16,15,8,33,2,3,1,0.256,0.303,0.389,0.692,0.295,80,0.1,-0.1,-3.7,1.8,0.3,598.7
Tim Locastro,Diamondbacks,15124,39,164,146,37,8,1,3,18,15,9,31,7,6,2,0.25,0.32,0.374,0.694,0.301,83,0.6,-0.2,-3.2,-2.3,0,598.7
Garrett Stubbs,Astros,18067,32,132,117,27,6,0,3,15,13,11,27,1,3,1,0.231,0.302,0.352,0.654,0.284,77,0.2,0,-3.6,2.6,0.2,598.8
Nolan Jones,Indians,sa917941,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.334,0.402,0.736,0.317,92,0,0,0,0,0,598.8
Brandon Drury,Blue Jays,11615,83,334,303,73,18,1,10,37,38,24,82,3,2,1,0.241,0.3,0.407,0.707,0.3,85,-0.2,-0.1,-6.6,-1.1,0.4,598.9
Albert Almora Jr.,Cubs,14109,67,275,255,68,13,1,7,30,31,15,48,2,2,1,0.266,0.309,0.413,0.721,0.303,85,-0.3,-0.5,-5.8,-0.8,0.2,598.9
Seth Beer,Diamondbacks,sa3006658,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.26,0.322,0.443,0.765,0.321,96,0,0,0,0,0,598.9
Harold Castro,Tigers,14691,10,41,39,10,1,0,1,4,4,1,9,0,1,0,0.263,0.289,0.36,0.649,0.277,68,0,-0.2,-1.6,0,0,599.1
Ryon Healy,Brewers,15447,6,26,24,6,1,0,1,3,4,2,6,0,0,0,0.257,0.303,0.464,0.768,0.32,95,-0.1,-0.3,-0.3,-0.5,0,599.2
Francisco Cervelli,Marlins,5275,62,258,221,52,10,1,6,25,26,28,62,6,2,1,0.235,0.335,0.37,0.705,0.309,93,-0.6,-0.5,-3.1,0.7,0.5,599.3
Jose Osuna,Pirates,12937,74,300,274,73,18,1,9,33,38,19,57,2,2,1,0.265,0.317,0.441,0.758,0.32,97,-0.3,-1.9,-1.4,-5.9,0.2,599.3
Thairo Estrada,Yankees,16426,16,66,61,15,3,0,2,7,8,3,13,1,1,0,0.253,0.296,0.393,0.689,0.293,81,0.1,-0.1,-1.6,0,0.1,599.3
Austin Barnes,Dodgers,12158,50,197,169,38,8,1,5,20,20,22,47,3,2,1,0.226,0.323,0.364,0.687,0.297,85,-0.2,-0.2,-4.1,3.9,1.2,599.5
Ronald Guzman,Rangers,14388,89,352,310,76,16,1,13,41,43,33,91,4,2,1,0.246,0.324,0.424,0.749,0.318,88,-0.3,2.2,-5.8,-5.2,0.1,599.5
Josh Phegley,,9308,5,17,16,4,1,0,1,2,2,1,4,0,0,0,0.231,0.287,0.398,0.685,0.29,76,0,0,-0.6,0.4,0,599.5
John Hicks,Diamondbacks,12547,5,18,17,4,1,0,1,2,2,1,6,0,0,0,0.229,0.275,0.381,0.655,0.278,67,0,0.1,-0.8,0.4,0,599.5
Adam Jones,,6368,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.306,0.424,0.73,0.307,89,0,0,0,0,0,599.6
Adolis Garcia,Rangers,19287,44,181,169,39,8,1,7,20,22,7,55,2,4,2,0.232,0.27,0.417,0.687,0.287,67,0,-0.6,-7.5,-2.5,-0.4,599.6
Matt Joyce,Marlins,3353,84,341,287,68,14,1,11,39,37,47,73,2,2,1,0.239,0.346,0.412,0.758,0.327,104,-0.3,-1.8,1.6,-7.3,0.5,599.7
Lewin Diaz,Marlins,sa828420,11,46,43,10,2,0,2,5,5,2,9,0,0,0,0.24,0.28,0.413,0.693,0.289,80,0,0,-1.2,-0.9,-0.1,599.7
Nolan Gorman,Cardinals,sa3007017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.251,0.337,0.588,0.25,53,0,0,-0.1,0,0,599.8
Anthony Alford,Blue Jays,14329,32,134,121,27,6,1,3,14,13,10,40,2,5,2,0.225,0.291,0.35,0.641,0.278,70,0.3,-0.6,-4.9,-0.6,-0.1,599.8
Jedd Gyorko,Brewers,10816,60,247,217,53,9,1,11,30,34,25,56,2,2,1,0.246,0.325,0.449,0.774,0.327,99,-0.7,-0.7,-0.9,-1.4,0.6,599.9
Kevin Plawecki,Red Sox,13807,32,126,112,28,6,0,3,14,14,10,26,2,1,0,0.246,0.319,0.393,0.712,0.305,84,-0.3,-0.1,-2.9,2.3,0.4,600
Richie Martin Jr.,Orioles,17736,15,57,52,12,2,0,1,6,5,3,13,1,2,1,0.235,0.288,0.352,0.64,0.275,67,0,-0.1,-2.4,0.4,0,600
Deivy Grullon,Phillies,15988,3,12,11,3,0,0,1,1,2,1,4,0,0,0,0.232,0.287,0.422,0.708,0.298,81,0,0,-0.3,0.3,0,600.1
Eli White,Rangers,sa738478,5,20,18,4,1,0,0,2,2,1,5,0,0,0,0.237,0.3,0.355,0.655,0.283,65,0,0,-0.9,0.2,0,600.1
Melky Cabrera,,4022,44,183,169,47,10,1,5,20,22,11,24,1,1,0,0.276,0.321,0.423,0.745,0.314,93,-0.8,-1.1,-2.4,-4.9,-0.1,600.1
Grayson Greiner,Tigers,17062,36,143,128,29,6,1,3,14,14,11,39,1,0,0,0.225,0.292,0.359,0.651,0.281,71,0,-0.3,-5.3,2.7,0.1,600.2
Cedric Mullins II,Orioles,17929,6,28,25,6,1,0,1,3,3,2,5,0,1,0,0.239,0.296,0.378,0.674,0.288,75,0.1,-0.2,-0.8,-0.1,0,600.2
Jeter Downs,,sa3004615,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.29,0.37,0.659,0.282,75,0,0,0,0,0,600.2
Andrew Knizner,Cardinals,19514,12,49,44,12,2,0,1,5,6,3,8,1,0,0,0.263,0.318,0.411,0.728,0.31,92,0,0.1,-0.5,1.1,0.1,600.3
Khalil Lee,Royals,sa917996,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.314,0.363,0.676,0.294,79,0,0,0,0,0,600.3
Brandon Dixon,Tigers,15214,3,14,12,3,1,0,0,1,2,1,4,0,0,0,0.238,0.284,0.408,0.692,0.292,78,0,-0.2,-0.4,-0.1,0,600.3
Tyler Naquin,Indians,13359,65,256,234,64,14,1,9,31,33,17,61,2,3,2,0.275,0.326,0.45,0.776,0.325,98,0.3,1.3,-0.4,-1.9,0.7,600.4
Dom Nunez,Rockies,15055,17,66,58,13,2,0,2,7,8,6,18,1,1,0,0.223,0.305,0.394,0.699,0.299,67,0.1,-0.1,-2.8,1.3,0.1,600.4
Andrew Knapp,Phillies,14942,21,84,73,16,3,0,2,8,8,9,26,1,0,0,0.214,0.307,0.343,0.65,0.282,70,0.1,-0.6,-3.2,1.1,0,600.4
Jake Cave,Twins,14477,36,143,129,33,7,1,4,17,18,10,42,2,1,0,0.256,0.316,0.424,0.739,0.313,93,0.1,-0.6,-1.2,-1.2,0.3,600.5
Brad Miller,Cardinals,12775,38,154,135,32,7,1,6,18,19,15,42,1,1,1,0.238,0.319,0.436,0.754,0.318,98,0,-1.2,-0.5,-2.8,0.2,600.5
Dylan Moore,Mariners,18042,13,52,46,10,2,0,1,5,5,4,13,1,2,1,0.222,0.291,0.363,0.654,0.281,76,0,-0.2,-1.5,0.3,0.1,600.5
Brian O'Grady,Rays,16729,2,6,6,1,0,0,0,1,1,1,2,0,0,0,0.222,0.296,0.404,0.701,0.297,86,0,0.1,-0.1,0,0,600.5
Zach Green,Giants,14973,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.284,0.401,0.685,0.289,80,0,0,0,0,0,600.5
Michael A. Taylor,Nationals,11489,40,158,143,34,7,1,5,17,18,12,49,1,6,2,0.236,0.296,0.391,0.687,0.291,74,0.5,0.5,-4.8,-1.5,-0.1,600.5
Danny Mendick,White Sox,18889,24,100,90,22,4,0,2,11,11,8,20,1,2,1,0.243,0.311,0.376,0.687,0.296,84,0,0,-2,0.6,0.2,600.6
Tim Beckham,,7949,37,156,142,34,7,0,5,17,19,10,44,1,1,1,0.241,0.297,0.416,0.714,0.302,85,-0.1,-1,-3.2,-0.6,0.1,600.6
Carlos Gonzalez,,7287,44,183,165,38,8,0,7,19,22,15,50,1,1,1,0.23,0.298,0.402,0.701,0.297,86,0,0.3,-3.2,-2,0.1,600.6
Jed Lowrie,Mets,4418,43,187,165,39,9,0,5,20,20,19,39,1,0,0,0.236,0.316,0.386,0.702,0.302,89,-0.4,-0.5,-3,-2,0.1,600.6
Derek Dietrich,Reds,10542,17,69,61,14,3,0,3,8,9,5,18,3,0,0,0.238,0.322,0.44,0.762,0.322,94,0,0.2,-0.5,-1.5,0,600.6
Edwin Rios,Dodgers,18316,3,13,12,3,1,0,1,2,2,1,5,0,0,0,0.227,0.281,0.43,0.711,0.297,84,0,0,-0.3,-0.4,0,600.6
Bubba Starling,Royals,13356,36,144,133,32,7,1,3,13,14,8,37,1,2,1,0.237,0.284,0.361,0.645,0.276,67,0.1,-0.5,-6,-0.3,-0.1,600.6
Jake Rogers,Tigers,19452,32,124,110,23,4,1,4,13,14,10,36,2,1,0,0.21,0.286,0.377,0.664,0.284,73,0,0,-4.2,2.7,0.2,600.7
Adam Duvall,Braves,10950,36,150,135,31,7,1,7,18,22,11,40,2,1,0,0.232,0.299,0.457,0.756,0.314,91,0.3,0.2,-1.6,-2.7,0.1,600.7
Cam Gallagher,Royals,12981,27,106,95,24,5,0,2,11,11,8,19,1,1,0,0.249,0.31,0.372,0.683,0.294,79,-0.2,0,-3.1,2.3,0.5,600.8
Tomas Nido,Mets,13755,39,155,144,33,7,0,4,14,16,8,36,1,1,0,0.227,0.27,0.356,0.626,0.265,65,-0.1,-1.5,-7.3,1.8,0.2,600.8
Steven Duggar,Giants,17719,37,157,141,34,8,1,2,15,13,13,44,1,3,1,0.242,0.306,0.36,0.666,0.288,79,0.2,-0.5,-4.3,0.1,0.1,600.8
Zack Collins,White Sox,19181,11,44,37,8,2,0,2,5,5,6,14,0,0,0,0.214,0.325,0.395,0.72,0.31,94,0,0,-0.3,-0.5,0,600.8
Matt Adams,Mets,9393,3,12,11,2,0,0,1,1,2,1,4,0,0,0,0.225,0.285,0.453,0.738,0.306,92,0,0,-0.1,-0.3,0,600.8
Kyle Farmer,Reds,14813,27,109,99,23,5,0,3,11,11,7,26,1,1,1,0.237,0.29,0.373,0.664,0.283,69,0,-0.4,-4.4,0,-0.1,600.8
D.J. Stewart,Orioles,17766,65,263,231,58,11,1,10,32,33,26,57,3,5,2,0.253,0.335,0.443,0.778,0.33,103,0.1,-0.9,1.2,-4.1,0.6,600.9
Tyler Heineman,,13897,20,79,71,17,3,0,2,7,8,6,14,1,1,0,0.246,0.309,0.372,0.68,0.292,82,0,0.1,-1.9,1.7,0.2,600.9
Tyler Wade,Yankees,15730,32,129,116,27,5,1,2,14,12,10,31,1,4,2,0.237,0.301,0.348,0.649,0.281,72,0.3,-0.6,-4.2,0.1,0,600.9
Trevor Larnach,Twins,sa3008376,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.265,0.324,0.414,0.737,0.313,93,0,0,0,0,0,600.9
Brandon Marsh,Angels,sa917944,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.309,0.363,0.672,0.289,80,0,0,0,0,0,600.9
Tommy Joseph,Red Sox,10349,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.298,0.441,0.739,0.31,87,0,0,0,0,0,600.9
Pablo Sandoval,Giants,5409,23,94,86,22,5,0,4,10,12,6,21,1,0,0,0.25,0.304,0.437,0.741,0.31,93,-0.3,-0.5,-1.2,-1.9,0,600.9
Kyle Garlick,Phillies,18063,2,7,6,1,0,0,0,1,1,0,2,0,0,0,0.222,0.276,0.421,0.697,0.291,76,0,0,-0.2,-0.1,0,600.9
Patrick Wisdom,Mariners,13602,18,72,65,13,3,0,3,7,8,6,25,1,1,0,0.203,0.272,0.371,0.643,0.273,71,0.1,-0.2,-2.6,-0.7,-0.1,600.9
Magneuris Sierra,Marlins,17023,36,146,136,35,5,2,1,12,13,6,27,1,6,3,0.254,0.29,0.347,0.637,0.273,69,0.2,-0.1,-5.7,-1.9,-0.3,600.9
Brett Phillips,Royals,14735,81,324,283,59,10,5,8,34,33,35,110,2,8,3,0.21,0.299,0.367,0.666,0.286,74,0.8,4.5,-10,3.2,0.5,601
Matt Duffy,Rangers,13836,29,126,112,31,6,0,2,15,13,11,21,2,1,1,0.282,0.351,0.4,0.751,0.324,92,-0.2,-0.9,-1.4,-0.2,0.3,601
Chris Iannetta,Yankees,8267,12,48,41,9,2,0,2,6,6,5,14,1,0,0,0.218,0.315,0.404,0.719,0.305,89,-0.2,-0.2,-0.9,0.8,0.1,601
Adeiny Hechavarria,Braves,10459,38,150,138,35,7,0,3,14,16,8,29,1,2,1,0.252,0.297,0.376,0.673,0.286,72,0.1,0.9,-5.4,1.1,0.1,601
